年月日	時刻	ユーザコード	処理内容
2016/02/09	13:46:38	7	User login to application
2016/02/09	13:46:38	7	User opens initial screen
2016/02/09	13:51:06	7	Update folder information or set permission for folder
2016/02/09	13:52:10	7	Update folder information or set permission for folder
2016/02/09	13:52:41	7	Update layer information
2016/02/09	13:52:52	7	User opens initial screen
2016/02/09	13:52:58	7	User clicks on a layer
2016/02/09	13:53:01	7	User clicks on a layer
2016/02/09	13:53:03	7	User clicks on a layer
2016/02/09	13:57:25	7	User login to application
2016/02/09	13:57:25	7	User opens initial screen
2016/02/09	13:57:41	7	User clicks on a layer
2016/02/09	13:57:44	7	User clicks on a layer
2016/02/09	13:57:49	7	User clicks on a layer
2016/02/09	13:57:51	7	User clicks on a layer
2016/02/09	13:58:00	7	User clicks on a layer
2016/02/09	13:58:02	7	User clicks on a layer
2016/02/09	13:58:04	7	User clicks on a layer
2016/02/09	13:58:05	7	User clicks on a layer
2016/02/09	13:58:07	7	User clicks on a layer
2016/02/09	13:58:09	7	User clicks on a layer
2016/02/09	13:58:11	7	User clicks on a layer
2016/02/09	13:58:14	7	User clicks on a layer
2016/02/09	13:58:16	7	User clicks on a layer
2016/02/09	13:59:04	7	User clicks on a layer
2016/02/09	13:59:17	7	User clicks on a layer
2016/02/09	13:59:21	7	User clicks on a layer
2016/02/09	13:59:24	7	User clicks on a layer
2016/02/09	13:59:28	7	User clicks on a layer
2016/02/09	13:59:34	7	User clicks on a layer
2016/02/09	13:59:36	7	User clicks on a layer
2016/02/09	14:15:58	7	User clicks on a layer
2016/02/09	14:16:00	7	User logout
2016/02/09	14:16:03	NULL	User doesn't agree with term of use
2016/02/09	14:16:03	158	Guest login to application
2016/02/09	14:16:06	158	User agrees with term of use
2016/02/09	14:16:06	158	User opens initial screen
2016/02/09	14:17:18	158	User logout
2016/02/09	14:17:35	7	User login to application
2016/02/09	14:17:36	7	User opens initial screen
2016/02/09	14:17:37	7	User clicks on a layer
2016/02/09	14:58:47	7	Add new a folder
2016/02/09	14:59:21	7	Update folder information or set permission for folder
2016/02/09	14:59:25	7	User opens initial screen
2016/02/09	14:59:26	7	User clicks on a layer
2016/02/09	15:00:22	7	User logout
2016/02/09	15:00:36	NULL	User doesn't agree with term of use
2016/02/09	15:00:36	158	Guest login to application
2016/02/09	15:00:38	158	User agrees with term of use
2016/02/09	15:00:38	158	User opens initial screen
2016/02/09	15:01:14	158	Update folder information or set permission for folder
2016/02/09	15:01:27	158	Update folder information or set permission for folder
2016/02/09	15:01:32	158	User logout
2016/02/09	15:01:34	NULL	User doesn't agree with term of use
2016/02/09	15:01:34	158	Guest login to application
2016/02/09	15:01:36	158	User agrees with term of use
2016/02/09	15:01:37	158	User opens initial screen
2016/02/09	15:02:22	158	User logout
2016/02/09	15:02:35	7	User login to application
2016/02/09	15:02:36	7	User opens initial screen
2016/02/09	15:02:37	7	User clicks on a layer
2016/02/09	15:02:57	7	Update folder information or set permission for folder
2016/02/09	15:03:32	7	Update folder information or set permission for folder
2016/02/09	15:03:49	7	User logout
2016/02/09	15:03:56	7	User login to application
2016/02/09	15:03:57	7	User opens initial screen
2016/02/09	15:03:58	7	User clicks on a layer
2016/02/09	15:04:08	7	User clicks on a layer
2016/02/09	15:04:36	7	User logout
2016/02/09	15:04:38	NULL	User doesn't agree with term of use
2016/02/09	15:04:38	158	Guest login to application
2016/02/09	15:04:40	158	User agrees with term of use
2016/02/09	15:04:40	158	User opens initial screen
